Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Cluster_KMeans,Cluster_Hier,Cluster_DBSCAN,Cluster_Jerarquico
Male,Yes,59.0,Yes,Lawyer,7.0,High,2.0,Cat_6,0,0,0,0
Male,No,25.0,Yes,Entertainment,0.0,Low,2.0,Cat_6,1,4,0,4
Male,Yes,31.0,Yes,Doctor,0.0,Average,2.0,Cat_6,1,1,0,1
Male,No,27.0,No,Artist,8.0,Low,4.0,Cat_6,2,0,0,0
Male,Yes,57.0,Yes,Artist,0.0,Average,4.0,Cat_6,4,1,0,1
Female,Yes,39.0,Yes,Homemaker,1.0,High,2.0,Cat_6,4,1,0,1
Male,Yes,27.0,Yes,Healthcare,8.0,Low,2.0,Cat_6,2,0,0,0
Female,Yes,51.0,Yes,Entertainment,8.0,Average,2.0,Cat_6,2,0,0,0
Female,Yes,47.0,No,Artist,0.0,Average,5.0,Cat_6,4,1,0,1
Female,No,33.0,No,Healthcare,8.0,Low,4.0,Cat_6,2,0,0,0
Male,Yes,56.0,Yes,Artist,0.0,Average,4.0,Cat_6,4,1,0,1
Female,No,33.0,No,Homemaker,0.0,Low,3.0,Cat_6,3,2,0,2
Female,No,36.0,Yes,Doctor,0.0,Low,2.0,Cat_6,1,2,0,2
Male,Yes,51.0,No,Artist,4.0,Low,3.0,Cat_4,4,0,0,0
Male,Yes,45.0,Yes,Engineer,2.0,Average,2.0,Cat_6,1,1,0,1
Female,No,49.0,Yes,Artist,1.0,Low,1.0,Cat_6,1,4,0,4
Male,No,30.0,No,Healthcare,0.0,Low,4.0,Cat_6,3,2,0,2
Female,No,26.0,No,Healthcare,6.0,Low,3.0,Cat_5,2,0,0,0
Male,Yes,63.0,Yes,Artist,8.0,Low,1.0,Cat_6,2,0,0,0
Male,Yes,35.0,No,Entertainment,8.0,Average,4.0,Cat_3,2,0,0,0
Female,No,19.0,No,Marketing,1.0,Low,3.0,Cat_4,3,2,0,2
Male,No,32.0,No,Healthcare,7.0,Low,5.0,Cat_6,3,0,0,0
Male,Yes,52.0,Yes,Artist,0.0,Average,3.0,Cat_6,4,1,0,1
Female,Yes,36.0,Yes,Artist,5.0,Low,2.0,Cat_6,2,0,0,0
Female,No,42.0,No,Entertainment,7.0,Low,3.0,Cat_4,2,0,1,0
Male,Yes,40.0,No,Doctor,0.0,Average,2.0,Cat_3,1,1,0,1
Male,No,39.0,Yes,Entertainment,0.0,Low,3.0,Cat_1,1,4,0,4
Female,Yes,47.0,Yes,Artist,1.0,Average,4.0,Cat_3,4,1,0,1
Female,Yes,61.0,Yes,Artist,1.0,High,2.0,Cat_6,0,3,0,3
Male,Yes,32.0,No,Entertainment,1.0,Low,2.0,Cat_3,1,1,0,1
Male,Yes,55.0,No,Artist,0.0,Low,1.0,Cat_6,1,3,0,3
Male,Yes,58.0,Yes,Artist,1.0,Average,1.0,Cat_6,0,3,0,3
Female,No,38.0,Yes,Artist,0.0,Low,1.0,Cat_6,1,4,0,4
Male,Yes,63.0,Yes,Artist,0.0,High,2.0,Cat_6,0,3,0,3
Male,Yes,58.0,Yes,Doctor,1.0,Average,2.0,Cat_6,0,1,0,1
Male,Yes,30.0,No,Engineer,3.0,Average,3.0,Cat_4,4,1,0,1
Male,Yes,60.0,Yes,Artist,0.0,Average,4.0,Cat_6,4,1,0,1
Male,Yes,68.0,No,Executive,1.0,High,7.0,Cat_6,4,1,-1,1
Male,Yes,52.0,No,Artist,0.0,Low,3.0,Cat_4,4,1,0,1
Male,Yes,38.0,No,Executive,0.0,High,5.0,Cat_6,4,1,0,1
Female,Yes,35.0,Yes,Healthcare,10.0,Low,2.0,Cat_6,2,0,0,0
Male,No,18.0,No,Doctor,1.0,Low,2.0,Cat_6,3,2,0,2
Male,Yes,30.0,Yes,Homemaker,3.0,Low,2.0,Cat_1,1,1,-1,1
Male,No,86.0,No,Lawyer,1.0,Low,1.0,Cat_6,0,3,0,3
Female,Yes,19.0,No,Healthcare,6.0,Low,5.0,Cat_3,3,0,-1,0
Male,No,25.0,No,Healthcare,9.0,Low,3.0,Cat_6,2,0,0,0
Male,Yes,59.0,Yes,Entertainment,1.0,Low,4.0,Cat_4,4,1,0,1
Female,No,39.0,Yes,Artist,0.0,Low,1.0,Cat_6,1,4,0,4
Female,Yes,50.0,Yes,Doctor,1.0,Low,3.0,Cat_6,1,1,0,1
Male,No,47.0,Yes,Artist,1.0,Low,1.0,Cat_6,1,4,0,4
Male,Yes,43.0,Yes,Executive,0.0,High,3.0,Cat_6,4,1,0,1
Male,Yes,36.0,No,Executive,8.0,Average,4.0,Cat_1,2,0,0,0
Male,Yes,80.0,No,Lawyer,1.0,Low,1.0,Cat_6,0,3,0,3
Male,No,36.0,Yes,Artist,0.0,Low,2.0,Cat_2,1,4,0,4
Male,No,27.0,No,Artist,2.0,Low,7.0,Cat_4,3,2,-1,2
Female,Yes,37.0,Yes,Artist,1.0,High,2.0,Cat_7,4,1,0,1
Male,Yes,46.0,Yes,Executive,0.0,High,3.0,Cat_6,4,1,0,1
Male,Yes,55.0,No,Executive,1.0,High,4.0,Cat_3,4,1,0,1
Female,Yes,47.0,No,Engineer,9.0,Average,4.0,Cat_4,2,0,0,0
Female,No,28.0,Yes,Healthcare,1.0,Low,3.0,Cat_3,3,4,0,4
Male,Yes,39.0,No,Entertainment,9.0,Low,2.0,Cat_3,2,0,-1,0
Female,Yes,27.0,No,Marketing,1.0,Low,2.0,Cat_6,1,1,0,1
Female,Yes,42.0,No,Engineer,0.0,Low,3.0,Cat_6,1,1,0,1
Male,Yes,72.0,Yes,Artist,0.0,Average,2.0,Cat_6,0,3,0,3
Female,Yes,28.0,Yes,Engineer,0.0,Low,2.0,Cat_6,1,1,0,1
Male,No,35.0,Yes,Entertainment,8.0,Low,5.0,Cat_6,2,0,0,0
Male,Yes,39.0,Yes,Executive,9.0,High,5.0,Cat_2,2,0,-1,0
Female,Yes,69.0,Yes,Lawyer,0.0,High,2.0,Cat_6,0,3,0,3
Male,No,18.0,No,Healthcare,6.0,Low,4.0,Cat_4,3,0,0,0
Male,Yes,46.0,Yes,Artist,1.0,Low,1.0,Cat_6,1,1,0,1
Female,Yes,50.0,Yes,Engineer,1.0,High,2.0,Cat_4,4,1,0,1
Male,No,30.0,No,Executive,5.0,Low,5.0,Cat_6,3,2,-1,2
Female,No,41.0,No,Artist,1.0,Low,2.0,Cat_6,1,4,0,4
Female,No,39.0,Yes,Artist,3.0,Low,4.0,Cat_6,3,2,0,2
Female,No,29.0,No,Marketing,8.0,Low,4.0,Cat_6,2,0,0,0
Female,Yes,37.0,Yes,Artist,4.0,Low,4.0,Cat_5,4,0,-1,0
Female,Yes,39.0,Yes,Engineer,0.0,Average,2.0,Cat_6,1,1,0,1
Female,Yes,48.0,Yes,Artist,0.0,Average,5.0,Cat_7,4,1,0,1
Female,No,32.0,Yes,Doctor,0.0,Low,3.0,Cat_6,1,2,0,2
Male,Yes,78.0,No,Lawyer,1.0,Low,3.0,Cat_6,0,3,0,3
Female,Yes,43.0,No,Engineer,0.0,Average,5.0,Cat_4,4,1,0,1
Male,No,29.0,No,Marketing,8.0,Low,5.0,Cat_6,2,0,-1,0
Female,Yes,28.0,No,Engineer,9.0,Average,2.0,Cat_4,2,0,0,0
Male,Yes,80.0,Yes,Lawyer,1.0,Low,1.0,Cat_6,0,3,0,3
Female,No,28.0,Yes,Healthcare,7.0,Low,4.0,Cat_6,2,0,0,0
Male,Yes,71.0,Yes,Artist,6.0,Average,3.0,Cat_6,0,0,0,0
Female,No,26.0,No,Engineer,0.0,Low,1.0,Cat_2,1,4,0,4
Female,Yes,47.0,Yes,Engineer,0.0,Average,2.0,Cat_6,1,1,0,1
Female,Yes,43.0,Yes,Artist,2.0,Average,2.0,Cat_6,1,1,0,1
Female,No,27.0,Yes,Healthcare,0.0,Low,4.0,Cat_6,3,2,0,2
Female,Yes,45.0,Yes,Marketing,8.0,Low,4.0,Cat_6,2,0,-1,0
Male,Yes,76.0,No,Executive,1.0,Low,1.0,Cat_6,0,3,0,3
Female,Yes,43.0,Yes,Artist,3.0,Average,4.0,Cat_6,4,1,0,1
Female,Yes,78.0,Yes,Lawyer,1.0,High,2.0,Cat_6,0,3,0,3
Male,Yes,35.0,Yes,Artist,3.0,Average,3.0,Cat_6,4,1,0,1
Female,No,49.0,Yes,Artist,1.0,Low,1.0,Cat_6,1,4,0,4
Female,No,25.0,Yes,Healthcare,1.0,Low,5.0,Cat_6,3,2,0,2
Male,Yes,37.0,No,Executive,0.0,Average,5.0,Cat_6,4,1,0,1
Female,No,32.0,No,Healthcare,1.0,Low,5.0,Cat_6,3,2,0,2
Male,Yes,60.0,Yes,Doctor,0.0,Average,2.0,Cat_6,0,1,0,1
Female,Yes,45.0,Yes,Artist,5.0,Average,3.0,Cat_6,2,0,0,0
Female,Yes,49.0,Yes,Homemaker,9.0,Average,3.0,Cat_6,2,0,0,0
Male,No,32.0,Yes,Artist,0.0,Low,5.0,Cat_6,3,2,0,2
Female,Yes,40.0,Yes,Artist,0.0,Low,3.0,Cat_3,1,1,0,1
Male,Yes,59.0,No,Artist,2.0,Average,2.0,Cat_4,0,1,0,1
Male,Yes,48.0,Yes,Artist,3.0,Low,5.0,Cat_6,4,1,0,1
Male,Yes,82.0,Yes,Executive,0.0,High,2.0,Cat_6,0,3,0,3
Female,Yes,70.0,Yes,Lawyer,0.0,Low,2.0,Cat_6,0,3,0,3
Male,No,31.0,Yes,Artist,5.0,Low,2.0,Cat_6,2,4,0,4
Female,Yes,72.0,Yes,Lawyer,0.0,High,2.0,Cat_6,0,3,0,3
Male,Yes,50.0,Yes,Artist,3.0,Average,4.0,Cat_6,4,1,0,1
Female,No,20.0,No,Healthcare,2.0,Low,6.0,Cat_6,3,2,0,2
Female,No,22.0,No,Healthcare,4.0,Low,3.0,Cat_6,3,2,0,2
Female,No,31.0,Yes,Engineer,8.0,Low,1.0,Cat_6,2,0,0,0
Female,Yes,36.0,Yes,Artist,7.0,Average,2.0,Cat_6,2,0,0,0
Male,Yes,52.0,No,Entertainment,1.0,Average,5.0,Cat_4,4,1,0,1
Female,No,29.0,Yes,Artist,1.0,Low,1.0,Cat_4,1,4,0,4
Male,Yes,40.0,Yes,Artist,4.0,Average,4.0,Cat_6,4,1,0,1
Female,No,40.0,Yes,Artist,1.0,Low,1.0,Cat_6,1,4,0,4
Male,Yes,38.0,Yes,Artist,1.0,Low,2.0,Cat_6,1,1,0,1
Female,Yes,85.0,No,Lawyer,1.0,Low,3.0,Cat_6,0,3,0,3
Female,No,21.0,No,Doctor,1.0,Low,3.0,Cat_7,3,2,0,2
Female,Yes,41.0,No,Engineer,4.0,Average,2.0,Cat_6,1,1,0,1
Male,Yes,40.0,Yes,Artist,0.0,Low,2.0,Cat_6,1,1,0,1
Male,Yes,53.0,Yes,Artist,1.0,Average,3.0,Cat_6,4,1,0,1
Female,Yes,42.0,Yes,Artist,5.0,Low,2.0,Cat_6,2,0,0,0
Male,Yes,42.0,No,Executive,8.0,Low,2.0,Cat_6,2,0,0,0
Male,Yes,48.0,Yes,Artist,1.0,Average,4.0,Cat_7,4,1,0,1
Male,Yes,59.0,Yes,Artist,7.0,Low,2.0,Cat_6,2,0,0,0
Male,Yes,41.0,Yes,Executive,1.0,Average,3.0,Cat_6,4,1,0,1
Female,Yes,31.0,Yes,Artist,0.0,Average,2.0,Cat_6,1,1,0,1
Female,Yes,49.0,Yes,Artist,1.0,High,5.0,Cat_6,4,1,0,1
Male,Yes,67.0,Yes,Executive,1.0,Low,2.0,Cat_6,0,1,0,1
Male,Yes,35.0,No,Artist,4.0,Average,2.0,Cat_6,1,0,0,0
Female,No,26.0,Yes,Healthcare,0.0,Low,3.0,Cat_6,3,2,0,2
Male,Yes,19.0,No,Healthcare,9.0,Low,3.0,Cat_3,2,0,-1,0
Female,Yes,39.0,Yes,Healthcare,4.0,Low,2.0,Cat_6,1,1,0,1
Male,Yes,63.0,Yes,Entertainment,0.0,Low,2.0,Cat_6,0,1,0,1
Male,No,23.0,No,Healthcare,8.0,Low,3.0,Cat_6,2,0,0,0
Female,No,23.0,No,Healthcare,0.0,Low,3.0,Cat_3,3,2,0,2
Female,Yes,53.0,Yes,Artist,2.0,Low,1.0,Cat_6,1,1,0,1
Male,No,33.0,Yes,Doctor,0.0,Low,2.0,Cat_6,1,4,0,4
Female,Yes,50.0,No,Engineer,1.0,Average,4.0,Cat_2,4,1,0,1
Female,Yes,69.0,Yes,Engineer,0.0,Low,2.0,Cat_4,0,1,0,1
Male,No,37.0,Yes,Artist,2.0,Low,1.0,Cat_6,1,4,0,4
Female,No,20.0,No,Marketing,3.0,Low,4.0,Cat_7,3,2,-1,2
Female,Yes,85.0,No,Lawyer,0.0,High,1.0,Cat_3,0,3,0,3
Female,Yes,49.0,Yes,Doctor,1.0,Average,4.0,Cat_6,4,1,0,1
Male,No,18.0,No,Healthcare,0.0,Low,3.0,Cat_3,3,2,0,2
Female,Yes,52.0,Yes,Doctor,0.0,Average,2.0,Cat_6,1,1,0,1
Male,Yes,25.0,No,Doctor,1.0,Average,2.0,Cat_4,1,1,0,1
Male,Yes,56.0,No,Executive,1.0,High,2.0,Cat_6,0,3,0,3
Male,No,62.0,Yes,Artist,0.0,Low,1.0,Cat_6,1,4,0,4
Female,No,35.0,Yes,Artist,0.0,Low,3.0,Cat_6,1,4,0,4
Male,Yes,28.0,Yes,Engineer,0.0,Average,2.0,Cat_6,1,1,0,1
Female,No,28.0,Yes,Artist,7.0,Low,3.0,Cat_6,2,0,0,0
Male,No,20.0,No,Healthcare,0.0,Low,5.0,Cat_7,3,2,0,2
Female,No,27.0,No,Homemaker,8.0,Low,1.0,Cat_3,2,0,0,0
Female,No,56.0,No,Engineer,1.0,Low,1.0,Cat_6,1,4,0,4
Male,Yes,45.0,Yes,Artist,4.0,Average,4.0,Cat_6,4,1,0,1
Male,No,25.0,Yes,Healthcare,1.0,Low,4.0,Cat_4,3,2,0,2
Male,No,40.0,No,Marketing,1.0,Low,1.0,Cat_4,1,2,0,2
Female,Yes,25.0,Yes,Healthcare,1.0,Low,2.0,Cat_6,1,1,0,1
Female,Yes,74.0,No,Lawyer,1.0,High,2.0,Cat_6,0,3,0,3
Female,No,23.0,No,Healthcare,0.0,Low,4.0,Cat_6,3,2,0,2
Female,Yes,67.0,Yes,Lawyer,0.0,High,2.0,Cat_6,0,3,0,3
Male,No,21.0,No,Healthcare,0.0,Low,4.0,Cat_6,3,2,0,2
Female,No,38.0,Yes,Artist,9.0,Low,1.0,Cat_3,2,0,0,0
Male,No,28.0,No,Healthcare,0.0,Low,4.0,Cat_2,3,2,0,2
Female,No,32.0,No,Healthcare,1.0,Low,5.0,Cat_7,3,2,0,2
Female,No,33.0,Yes,Artist,0.0,Low,4.0,Cat_6,3,2,0,2
Female,Yes,56.0,No,Lawyer,1.0,High,4.0,Cat_4,4,1,-1,1
Female,Yes,53.0,Yes,Artist,1.0,Low,2.0,Cat_6,1,1,0,1
Male,Yes,57.0,No,Executive,1.0,High,5.0,Cat_6,4,1,0,1
Female,Yes,59.0,Yes,Artist,0.0,Average,3.0,Cat_6,4,1,0,1
Female,Yes,25.0,Yes,Healthcare,1.0,High,4.0,Cat_4,4,1,-1,1
Male,Yes,59.0,Yes,Artist,0.0,Average,6.0,Cat_6,4,1,0,1
Female,Yes,36.0,Yes,Artist,0.0,Low,4.0,Cat_6,4,1,0,1
Male,Yes,37.0,Yes,Entertainment,7.0,Low,2.0,Cat_6,2,0,0,0
Male,No,22.0,No,Doctor,1.0,Low,3.0,Cat_2,3,2,0,2
Male,Yes,43.0,Yes,Artist,1.0,Low,2.0,Cat_6,1,1,0,1
Male,Yes,41.0,Yes,Artist,1.0,Low,2.0,Cat_4,1,1,0,1
Female,No,21.0,No,Engineer,0.0,Low,5.0,Cat_2,3,2,0,2
Female,No,49.0,No,Engineer,1.0,Low,3.0,Cat_7,3,2,0,2
Male,No,38.0,Yes,Doctor,8.0,Low,1.0,Cat_2,2,0,0,0
Male,Yes,47.0,No,Artist,1.0,Average,4.0,Cat_6,4,1,0,1
Male,Yes,70.0,Yes,Lawyer,1.0,High,3.0,Cat_6,0,3,0,3
Female,No,31.0,No,Engineer,1.0,Low,4.0,Cat_6,3,2,0,2
Female,Yes,82.0,No,Lawyer,0.0,Average,2.0,Cat_6,0,3,0,3
Female,Yes,51.0,No,Executive,1.0,Low,1.0,Cat_6,1,1,-1,1
Male,No,38.0,Yes,Artist,8.0,Low,3.0,Cat_2,2,0,0,0
Male,Yes,18.0,No,Executive,0.0,High,4.0,Cat_6,4,1,0,1
Male,Yes,50.0,Yes,Artist,6.0,Average,3.0,Cat_6,2,1,0,1
Female,No,46.0,Yes,Doctor,1.0,Low,3.0,Cat_3,1,4,0,4
Female,Yes,72.0,No,Lawyer,1.0,High,3.0,Cat_6,0,3,0,3
Female,No,33.0,No,Engineer,1.0,Low,4.0,Cat_6,3,2,0,2
Female,No,25.0,No,Homemaker,1.0,Low,7.0,Cat_4,3,2,0,2
Female,Yes,75.0,No,Entertainment,2.0,High,2.0,Cat_2,0,3,-1,3
Male,No,72.0,Yes,Artist,1.0,Low,1.0,Cat_6,0,4,0,4
Female,Yes,72.0,Yes,Artist,0.0,Average,3.0,Cat_4,0,1,0,1
Male,Yes,36.0,Yes,Entertainment,6.0,Low,6.0,Cat_4,4,0,-1,0
Male,Yes,40.0,Yes,Artist,1.0,Low,2.0,Cat_6,1,1,0,1
Female,No,28.0,Yes,Entertainment,0.0,Low,4.0,Cat_6,3,2,0,2
Female,No,28.0,Yes,Doctor,0.0,Low,3.0,Cat_6,1,2,0,2
Male,Yes,19.0,No,Entertainment,0.0,High,3.0,Cat_4,4,1,0,1
Male,Yes,43.0,Yes,Artist,0.0,Low,2.0,Cat_4,1,1,0,1
Female,Yes,35.0,Yes,Artist,1.0,Average,2.0,Cat_6,1,1,0,1
Male,Yes,65.0,Yes,Lawyer,1.0,High,2.0,Cat_6,0,3,0,3
Male,Yes,52.0,Yes,Executive,7.0,High,4.0,Cat_4,4,0,0,0
Female,No,40.0,Yes,Artist,1.0,Low,1.0,Cat_6,1,4,0,4
Female,Yes,69.0,No,Engineer,9.0,Low,3.0,Cat_6,2,0,-1,0
Female,No,22.0,No,Healthcare,3.0,Low,3.0,Cat_6,3,2,0,2
Male,Yes,47.0,Yes,Executive,1.0,Average,4.0,Cat_6,4,1,0,1
Male,Yes,29.0,Yes,Marketing,1.0,High,2.0,Cat_3,4,1,0,1
Male,Yes,46.0,Yes,Artist,1.0,Average,3.0,Cat_3,4,1,0,1
Male,No,32.0,Yes,Artist,1.0,Low,2.0,Cat_6,1,4,0,4
Female,No,38.0,Yes,Healthcare,0.0,Low,1.0,Cat_2,1,4,0,4
Male,Yes,59.0,Yes,Artist,0.0,Low,1.0,Cat_6,1,1,0,1
Female,No,26.0,Yes,Entertainment,1.0,Low,1.0,Cat_6,1,4,0,4
Male,No,26.0,Yes,Healthcare,1.0,Low,2.0,Cat_3,1,2,0,2
Male,No,28.0,No,Marketing,0.0,Low,1.0,Cat_3,1,2,0,2
Female,Yes,53.0,Yes,Engineer,1.0,Average,3.0,Cat_6,4,1,0,1
Female,No,43.0,Yes,Entertainment,1.0,Low,1.0,Cat_6,1,4,0,4
Male,No,27.0,No,Doctor,1.0,Low,3.0,Cat_6,3,2,0,2
Male,No,26.0,No,Engineer,0.0,Low,4.0,Cat_4,3,2,0,2
Female,No,31.0,No,Entertainment,0.0,Low,2.0,Cat_6,1,4,0,4
Male,Yes,39.0,Yes,Executive,1.0,High,3.0,Cat_3,4,1,0,1
Female,Yes,43.0,No,Engineer,1.0,Low,3.0,Cat_7,1,1,0,1
Male,Yes,25.0,No,Doctor,1.0,Low,2.0,Cat_1,1,1,-1,1
Male,Yes,40.0,Yes,Artist,3.0,High,3.0,Cat_6,4,1,0,1
Female,Yes,40.0,Yes,Entertainment,7.0,Average,2.0,Cat_3,2,0,0,0
Male,Yes,63.0,Yes,Entertainment,1.0,Average,3.0,Cat_6,0,1,0,1
Female,Yes,27.0,Yes,Healthcare,1.0,Low,2.0,Cat_6,1,1,0,1
Male,No,27.0,Yes,Healthcare,1.0,Low,3.0,Cat_6,3,2,0,2
Female,No,19.0,No,Healthcare,1.0,Low,2.0,Cat_6,3,2,0,2
Female,Yes,86.0,Yes,Lawyer,0.0,High,2.0,Cat_6,0,3,0,3
Male,Yes,41.0,Yes,Marketing,1.0,High,2.0,Cat_6,4,1,0,1
Female,Yes,27.0,Yes,Artist,4.0,Average,2.0,Cat_3,1,0,0,0
Female,Yes,70.0,No,Doctor,0.0,Average,2.0,Cat_6,0,3,0,3
Female,Yes,53.0,No,Engineer,8.0,Average,4.0,Cat_4,2,0,0,0
Female,Yes,49.0,No,Engineer,1.0,Average,4.0,Cat_4,4,1,0,1
Male,Yes,55.0,No,Executive,3.0,Low,3.0,Cat_4,4,0,0,0
Female,Yes,57.0,Yes,Engineer,0.0,Average,4.0,Cat_2,4,1,0,1
Male,Yes,83.0,No,Lawyer,1.0,Low,1.0,Cat_4,0,3,0,3
Male,Yes,43.0,No,Executive,0.0,High,4.0,Cat_6,4,1,0,1
Male,Yes,36.0,No,Doctor,6.0,Low,3.0,Cat_6,2,0,0,0
Male,Yes,74.0,Yes,Lawyer,0.0,Low,2.0,Cat_6,0,3,0,3
Female,No,30.0,No,Homemaker,0.0,Low,4.0,Cat_6,3,2,0,2
Female,No,37.0,Yes,Artist,5.0,Low,2.0,Cat_6,2,0,0,0
Female,No,22.0,No,Marketing,0.0,Low,1.0,Cat_5,1,4,-1,4
Male,No,19.0,No,Healthcare,0.0,Low,4.0,Cat_6,3,2,0,2
Male,Yes,70.0,Yes,Engineer,4.0,High,2.0,Cat_6,0,0,-1,0
Male,No,18.0,No,Healthcare,1.0,Low,4.0,Cat_6,3,2,0,2
Male,No,25.0,Yes,Doctor,6.0,Low,1.0,Cat_2,2,0,0,0
Female,No,45.0,Yes,Artist,4.0,Low,1.0,Cat_3,1,0,0,0
Female,No,35.0,Yes,Artist,3.0,Low,1.0,Cat_4,1,4,0,4
Female,Yes,37.0,No,Engineer,7.0,Low,1.0,Cat_4,2,0,-1,0
Female,Yes,39.0,No,Engineer,4.0,Average,2.0,Cat_6,1,1,0,1
Female,No,32.0,Yes,Healthcare,1.0,Low,5.0,Cat_4,3,2,0,2
Female,Yes,62.0,Yes,Artist,2.0,Average,3.0,Cat_6,0,1,0,1
